EMPRESA;ISQP;MEDIA IDAT RS 3 ANOS;ISG;IAC;PERDAS APURADO;PERDAS REFERENCIAL;DEC INTERNO ANTERIOR;DEC INTERNO;DEC APURADO;DEC ANEEL;FEC INTERNO ANTERIOR;FEC INTERNO;FEC APURADO;FEC ANEEL;TG PROPRIO;TF PROPRIO;INADIMPLENCIA;INS;FER;PSP;REMUN CRITERIO SETORIAL;RESULTADO OPERACIONAL;COBERTURA;EFICIENCIA CAPITAL GIRO;EFICIENCIA CAPITAL PROPRIO TERCEIROS;ETHOS;TG POPULACAO;TF POPULACAO;RELATORIO GESTAO
ENERGISA MT;64,32483792;69,8470354;61,28;61,28;14,41;13,64;19,81;17,36;17,48;21,47;8,17;7,51;7,77;17,05;1358;3,78;3,581430861;85,33;11,36;93,74;17,03943506;59,50298027;2,333729155;1,277383171;1,33;4,97;18008;4,82;7,8
ENERGISA PB;77,66458114;78,01051337;78,88;80,64;13,48;12,76;13,38;13,94;14,22;15,97;5,04;4,92;5,61;9,5;26;4,45;3,046064852;88,82;8,9;90,46;24,76136705;59,51873207;1,207386878;1,096311005;1,32;5,78;16178;4,26;9,3
ENERGISA RO;61,03560598;56,53345676;53,46215781;57,76;26,59;22,05;46,67;34,99;35,7;27,45;21;15,14;17,2;18,84;1604;8,64;4,969989975;88,42;35,73;88,66;-1,439485685;13,98534098;42,10028533;-0,551457373;NA;5,12;7793;3,34;7,3
ENERGISA SE;67,2169418;73,17414056;71,84001;77,12;10,61;10,55;10,62;10,57;10,57;12,05;4,79;4,99;4,99;8,11;3;6,33;2,375741008;88,82;5,35;90,62;22,38324078;58,7435142;2,758860822;1,250570788;1,79;5,71;9145;2,41;9,1
ENERGISA SS;75,73971336;76,78195183;76,76282051;79,84;6,53;6,73;5,71;4,88;4,94;7,57;4,21;3,9;4,29;7,25;1874;6,6;1,907968952;88,66;3,69;98,15;24,09959448;55,98718917;2,218947321;1,247584335;1,17;6,16;6168;1,48;8,7
ENERGISA TO;70,27912759;70,75431699;67,84;70,56;12,57;13,91;21,5;18;18;23,55;7,68;7,77;7,9;15,67;22;6,72;3,698694226;86,83;6,01;96,24;36,84532018;55,17920699;2,254881116;1,061225262;1,38;5,66;27387;6,85;7,8
EQTL ALAGOAS;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND
EQTL MARANHÃO;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND
EQTL PARÁ;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND
EQTL PIAUÍ;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND
LIGHT;56,35586067;55,15366813;46,4;52,16;25,92;19,2;7,77;6,58;6,69;8,33;4,31;4,36;4,45;5,99;85;6,66;3,101500682;88,68;16,7;98,86;1,247466499;37,99363402;7,194870723;1,327860703;0,71;5,1;2883;0,81;ND
NEOENERGIA BRASÍLIA;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND
RGE;68,8329921;71,11272024;73,6;76,16;9,71;9,18;13,74;10,55;10,83;11,14;5,89;4,85;5,27;8,4;379;3,68;2,040012144;83,39;3,04;99,42;12,48313688;56,71859672;3,865484461;1,055322653;1,58;7,19;11005;3,5;8
