iter,move,improve,obj,return,n_assets,qX,qN,qNv,iter_time,max_iter,neighbours,alpha,exp_return,k_min,k_max,move_strategy,seed,selection_strategy,tag,X,Z
26,TID,True,0.007327230059458783,0.004858001719800001,5,5,100,90,0.057609,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.010112399999999999, 0.010014, 0.010014, 0.9598106, 0.010049]","[4, 8, 18, 25, 27]"
27,TID,True,0.007327230059458783,0.004858001719800001,5,5,100,89,0.054114,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.010112399999999999, 0.010014, 0.010014, 0.9598106, 0.010049]","[4, 8, 18, 25, 27]"
28,TID,True,0.007327230059458783,0.004858001719800001,5,5,100,91,0.055767,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.010112399999999999, 0.010014, 0.010014, 0.9598106, 0.010049]","[4, 8, 18, 25, 27]"
29,TID,True,0.007327230059458783,0.004858001719800001,5,5,100,91,0.057653,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.010112399999999999, 0.010014, 0.010014, 0.9598106, 0.010049]","[4, 8, 18, 25, 27]"
30,TID,True,0.007327230059458783,0.004858001719800001,5,5,100,94,0.055689,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.010112399999999999, 0.010014, 0.010014, 0.9598106, 0.010049]","[4, 8, 18, 25, 27]"
31,idID,True,0.007327230059458783,0.004858001719800001,5,5,100,90,0.057207,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.010112399999999999, 0.010014, 0.010014, 0.9598106, 0.010049]","[4, 8, 18, 25, 27]"
32,TID,True,0.007327230059458783,0.004858001719800001,5,5,100,90,0.054477,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.010112399999999999, 0.010014, 0.010014, 0.9598106, 0.010049]","[4, 8, 18, 25, 27]"
33,TID,True,0.007327230059458783,0.004858001719800001,5,5,100,85,0.05324,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.010112399999999999, 0.010014, 0.010014, 0.9598106, 0.010049]","[4, 8, 18, 25, 27]"
34,TID,True,0.007327230059458783,0.004858001719800001,5,5,100,87,0.055051,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.010112399999999999, 0.010014, 0.010014, 0.9598106, 0.010049]","[4, 8, 18, 25, 27]"
35,idID,True,0.007327230059458783,0.004858001719800001,5,5,100,85,0.055923,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.010112399999999999, 0.010014, 0.010014, 0.9598106, 0.010049]","[4, 8, 18, 25, 27]"
36,idID,True,0.007327230059458783,0.004858001719800001,5,5,100,89,0.053287,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.010112399999999999, 0.010014, 0.010014, 0.9598106, 0.010049]","[4, 8, 18, 25, 27]"
37,TID,True,0.007327230059458783,0.004858001719800001,5,5,100,85,0.057298,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.010112399999999999, 0.010014, 0.010014, 0.9598106, 0.010049]","[4, 8, 18, 25, 27]"
38,TID,True,0.007327230059458783,0.004858001719800001,5,5,100,90,0.054815,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.010112399999999999, 0.010014, 0.010014, 0.9598106, 0.010049]","[4, 8, 18, 25, 27]"
39,TID,True,0.007327230059458783,0.004858001719800001,5,5,100,87,0.054545,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.010112399999999999, 0.010014, 0.010014, 0.9598106, 0.010049]","[4, 8, 18, 25, 27]"
40,TID,True,0.007327230059458783,0.004858001719800001,5,5,100,87,0.055435,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.010112399999999999, 0.010014, 0.010014, 0.9598106, 0.010049]","[4, 8, 18, 25, 27]"
41,TID,True,0.007327230059458783,0.004858001719800001,5,5,100,88,0.054481,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.010112399999999999, 0.010014, 0.010014, 0.9598106, 0.010049]","[4, 8, 18, 25, 27]"
42,TID,True,0.007327230059458783,0.004858001719800001,5,5,100,93,0.05556,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.010112399999999999, 0.010014, 0.010014, 0.9598106, 0.010049]","[4, 8, 18, 25, 27]"
43,TID,True,0.007327230059458783,0.004858001719800001,5,5,100,91,0.056256,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.010112399999999999, 0.010014, 0.010014, 0.9598106, 0.010049]","[4, 8, 18, 25, 27]"
44,idID,True,0.007327230059458783,0.004858001719800001,5,5,100,89,0.05471,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.010112399999999999, 0.010014, 0.010014, 0.9598106, 0.010049]","[4, 8, 18, 25, 27]"
45,TID,True,0.007327230059458783,0.004858001719800001,5,5,100,92,0.054234,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.010112399999999999, 0.010014, 0.010014, 0.9598106, 0.010049]","[4, 8, 18, 25, 27]"
46,TID,True,0.007327230059458783,0.004858001719800001,5,5,100,88,0.056653,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.010112399999999999, 0.010014, 0.010014, 0.9598106, 0.010049]","[4, 8, 18, 25, 27]"
47,idID,True,0.007327230059458783,0.004858001719800001,5,5,100,95,0.054927,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.010112399999999999, 0.010014, 0.010014, 0.9598106, 0.010049]","[4, 8, 18, 25, 27]"
48,TID,True,0.007327230059458783,0.004858001719800001,5,5,100,91,0.056576,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.010112399999999999, 0.010014, 0.010014, 0.9598106, 0.010049]","[4, 8, 18, 25, 27]"
49,TID,True,0.007327230059458783,0.004858001719800001,5,5,100,86,0.05884,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.010112399999999999, 0.010014, 0.010014, 0.9598106, 0.010049]","[4, 8, 18, 25, 27]"
50,TID,True,0.007327230059458783,0.004858001719800001,5,5,100,93,0.056193,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.010112399999999999, 0.010014, 0.010014, 0.9598106, 0.010049]","[4, 8, 18, 25, 27]"
51,TID,True,0.007327230059458783,0.004858001719800001,5,5,100,89,0.055322,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.010112399999999999, 0.010014, 0.010014, 0.9598106, 0.010049]","[4, 8, 18, 25, 27]"
52,TID,True,0.007327230059458783,0.004858001719800001,5,5,100,84,0.054548,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.010112399999999999, 0.010014, 0.010014, 0.9598106, 0.010049]","[4, 8, 18, 25, 27]"
53,TID,True,0.007327230059458783,0.004858001719800001,5,5,100,95,0.054372,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.010112399999999999, 0.010014, 0.010014, 0.9598106, 0.010049]","[4, 8, 18, 25, 27]"
54,TID,True,0.007327230059458783,0.004858001719800001,5,5,100,94,0.055976,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.010112399999999999, 0.010014, 0.010014, 0.9598106, 0.010049]","[4, 8, 18, 25, 27]"
55,TID,True,0.007327230059458783,0.004858001719800001,5,5,100,85,0.056044,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.010112399999999999, 0.010014, 0.010014, 0.9598106, 0.010049]","[4, 8, 18, 25, 27]"
