iter,obj,aug_obj,return,X,Z,Q,max_iter,neighbours,alpha,exp_return,n_port,k,move_strategy,seed,selection_strategy
10,0.10908057711349571,0.10908057711349571,0.0021570383693970932,[0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.08680138 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.054725   0.         0.         0.         0.         0.         0.         0.         0.         0.06406695 0.         0.056914   0.         0.09852183 0.         0.         0.         0.07131491 0.         0.         0.         0.03993299 0.         0.         0.         0.         0.09675864 0.         0.         0.042506   0.         0.01630497 0.         0.         0.         0.         0.07951952 0.         0.         0.079317   0.01920175 0.         0.015571   0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.09332806 0.         0.         0.         0.085215  ],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1.],16.0,500,100,0.01,0.0015,2,16,TID,1,best
11,0.10885204688018052,0.10885204688018052,0.002158883556661893,[0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.08680138 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.054725   0.         0.         0.         0.         0.         0.         0.         0.         0.06406695 0.         0.056914   0.         0.09852183 0.         0.         0.         0.07131491 0.         0.         0.         0.04090058 0.         0.         0.         0.         0.09579105 0.         0.         0.042506   0.         0.01630497 0.         0.         0.         0.         0.07951952 0.         0.         0.079317   0.01920175 0.         0.015571   0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.09332806 0.         0.         0.         0.085215  ],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1.],16.0,500,100,0.01,0.0015,2,16,TID,1,best
12,0.10877100778496496,0.10877100778496496,0.0021576308899999997,[0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.086728 0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.054678 0.       0.       0.       0.       0.       0.       0.       0.       0.064012 0.       0.056866 0.       0.098438 0.       0.       0.       0.071254 0.       0.       0.       0.040866 0.       0.       0.       0.       0.09571  0.       0.       0.04247  0.       0.016291 0.       0.       0.       0.       0.079452 0.       0.       0.07925  0.019185 0.       0.015558 0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.093249 0.       0.       0.       0.085994],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1.],16.0,500,100,0.01,0.0015,2,16,TID,1,best
13,0.10866201940863643,0.10866201940863643,0.0021589049243199996,[0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.08586072 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.054678   0.         0.         0.         0.         0.         0.         0.         0.         0.06487928 0.         0.056866   0.         0.098438   0.         0.         0.         0.071254   0.         0.         0.         0.040866   0.         0.         0.         0.         0.09571    0.         0.         0.04247    0.         0.016291   0.         0.         0.         0.         0.079452   0.         0.         0.07925    0.019185   0.         0.015558   0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.093249   0.         0.         0.         0.085994  ],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1.],16.0,500,100,0.01,0.0015,2,16,TID,1,best
14,0.10852072812578262,0.10852072812578262,0.00215739708799,[0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.08586072 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.054678   0.         0.         0.         0.         0.         0.         0.         0.         0.06487928 0.         0.056866   0.         0.098438   0.         0.         0.         0.071254   0.         0.         0.         0.040866   0.         0.         0.         0.         0.09571    0.         0.         0.04247    0.         0.016291   0.         0.         0.         0.         0.079452   0.         0.         0.07925    0.019185   0.         0.015558   0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.09231651 0.         0.         0.         0.08692649],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1.],16.0,500,100,0.01,0.0015,2,16,TID,1,best
15,0.1084370769273311,0.1084370769273311,0.002156110438,[0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.085786 0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.05463  0.       0.       0.       0.       0.       0.       0.       0.       0.064823 0.       0.056817 0.       0.098352 0.       0.       0.       0.071192 0.       0.       0.       0.04083  0.       0.       0.       0.       0.095627 0.       0.       0.042433 0.       0.016277 0.       0.       0.       0.       0.079383 0.       0.       0.079181 0.019168 0.       0.015544 0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.092236 0.       0.       0.       0.087719],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1.],16.0,500,100,0.01,0.0015,2,16,TID,1,best
16,0.10822671564902892,0.10822671564902892,0.00215745154944,[0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.085786   0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.05463    0.         0.         0.         0.         0.         0.         0.         0.         0.064823   0.         0.056817   0.         0.098352   0.         0.         0.         0.071192   0.         0.         0.         0.04175236 0.         0.         0.         0.         0.095627   0.         0.         0.042433   0.         0.016277   0.         0.         0.         0.         0.079383   0.         0.         0.079181   0.019168   0.         0.015544   0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.09131364 0.         0.         0.         0.087719  ],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1.],16.0,500,100,0.01,0.0015,2,16,TID,1,best
17,0.10813769360121456,0.10813769360121456,0.00215455541408,[0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.08492814 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.05463    0.         0.         0.         0.         0.         0.         0.         0.         0.064823   0.         0.056817   0.         0.098352   0.         0.         0.         0.071192   0.         0.         0.         0.04175236 0.         0.         0.         0.         0.095627   0.         0.         0.042433   0.         0.016277   0.         0.         0.         0.         0.079383   0.         0.         0.08003886 0.019168   0.         0.015544   0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.09131364 0.         0.         0.         0.087719  ],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1.],16.0,500,100,0.01,0.0015,2,16,TID,1,best
18,0.10797728733125708,0.10797728733125708,0.0021516814458224,[0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.08407886 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.05463    0.         0.         0.         0.         0.         0.         0.         0.         0.064823   0.         0.056817   0.         0.098352   0.         0.         0.         0.071192   0.         0.         0.         0.04175236 0.         0.         0.         0.         0.095627   0.         0.         0.042433   0.         0.016277   0.         0.         0.         0.         0.079383   0.         0.         0.08003886 0.019168   0.         0.015544   0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.09131364 0.         0.         0.         0.08856828],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1.],16.0,500,100,0.01,0.0015,2,16,TID,1,best
19,0.10789395637891132,0.10789395637891132,0.0021503911269999997,[0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.084005 0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.054582 0.       0.       0.       0.       0.       0.       0.       0.       0.064766 0.       0.056767 0.       0.098265 0.       0.       0.       0.071129 0.       0.       0.       0.041715 0.       0.       0.       0.       0.095543 0.       0.       0.042396 0.       0.016263 0.       0.       0.       0.       0.079313 0.       0.       0.079968 0.019151 0.       0.01553  0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.091233 0.       0.       0.       0.089375],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1.],16.0,500,100,0.01,0.0015,2,16,TID,1,best
