iter,move,improve,obj,return,n_assets,qX,qN,qNv,iter_time,max_iter,neighbours,alpha,exp_return,k_min,k_max,move_strategy,seed,selection_strategy,tag,X,Z
0,idID,True,0.129742147653145,0.0033901260669999995,7,7,100,70,0.054718,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.091665, 0.082141, 0.127428, 0.024659, 0.122375, 0.036742, 0.51499]","[6, 7, 8, 10, 14, 24, 27]"
1,idID,True,0.09237697789587009,0.0030464991509999997,7,7,100,36,0.062994,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.061727, 0.055313, 0.08581, 0.016605, 0.082407, 0.024742, 0.673396]","[6, 7, 8, 10, 14, 24, 27]"
2,idID,True,0.0749275815855858,0.0030496351459999996,7,7,100,27,0.059392,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.010781, 0.066545, 0.059631, 0.092508, 0.017901, 0.026673, 0.725961]","[4, 6, 7, 8, 10, 24, 27]"
3,idID,True,0.05757370221108931,0.0031055576509999997,7,7,100,18,0.056926,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.011427, 0.063205, 0.098052, 0.018974, 0.010599, 0.028272, 0.769471]","[4, 7, 8, 10, 18, 24, 27]"
4,idID,True,0.05201486844584655,0.0031101332159999997,7,7,100,31,0.057552,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.01164, 0.064381, 0.099877, 0.019327, 0.010796, 0.783792, 0.010186]","[4, 7, 8, 10, 18, 27, 30]"
5,idID,True,0.038458139493074694,0.003013492213,7,7,100,48,0.056173,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.012309, 0.105621, 0.020438, 0.011417, 0.828867, 0.010575, 0.010772]","[4, 8, 10, 18, 27, 28, 30]"
6,idID,True,0.036160094730807155,0.0030210429099999997,7,7,100,28,0.056972,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.012439, 0.106735, 0.011537, 0.010105, 0.837611, 0.010687, 0.010886]","[4, 8, 18, 21, 27, 28, 30]"
7,TID,True,0.033650059553671036,0.003006806631,7,7,100,43,0.054795,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.012439, 0.106735, 0.011537, 0.010105, 0.01, 0.837611, 0.010886]","[4, 8, 18, 21, 25, 27, 30]"
8,idID,True,0.03160066091473928,0.0030158039499999997,6,6,100,33,0.055585,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.012585, 0.107985, 0.011672, 0.010223, 0.010117, 0.847418]","[4, 8, 18, 21, 25, 27]"
9,idID,True,0.029566325952880654,0.003027544168,5,5,100,49,0.054231,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.012715, 0.1091, 0.011793, 0.010221, 0.856171]","[4, 8, 18, 25, 27]"
10,TID,True,0.029332870936017167,0.0030240581572,5,5,100,38,0.05442,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.012715, 0.1091, 0.0106137, 0.010221, 0.8573503]","[4, 8, 18, 25, 27]"
11,TID,True,0.028894722498629462,0.0030649706571999995,5,5,100,43,0.053791,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.023625, 0.09819, 0.0106137, 0.010221, 0.8573503]","[4, 8, 18, 25, 27]"
12,TID,True,0.026968163394884673,0.0030180652941999998,5,5,100,54,0.05288,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.023625, 0.088371, 0.0106137, 0.010221, 0.8671693]","[4, 8, 18, 25, 27]"
13,TID,True,0.026523600798837955,0.0030512044191999994,5,5,100,44,0.053195,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.0324621, 0.0795339, 0.0106137, 0.010221, 0.8671693]","[4, 8, 18, 25, 27]"
14,iDR,True,0.025084234757619343,0.0030186202609999995,5,5,100,55,0.054339,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.032722, 0.072154, 0.010699, 0.010303, 0.874122]","[4, 8, 18, 25, 27]"
15,TID,True,0.02466322564993063,0.0030456780109999995,5,5,100,32,0.052608,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.0399374, 0.0649386, 0.010699, 0.010303, 0.874122]","[4, 8, 18, 25, 27]"
16,iDR,True,0.02344012826977502,0.003019076439,5,5,100,45,0.055067,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.040198, 0.058827, 0.010769, 0.01037, 0.879836]","[4, 8, 18, 25, 27]"
17,iDR,False,0.02344012826977502,0.003019076439,5,5,100,27,0.053611,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.040198, 0.058827, 0.010769, 0.01037, 0.879836]","[4, 8, 18, 25, 27]"
18,TID,True,0.022884776820217265,0.0030054168096,5,5,100,36,0.054464,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.040198, 0.0529443, 0.010769, 0.016252700000000002, 0.879836]","[4, 8, 18, 25, 27]"
19,TID,True,0.022531646823670842,0.0030252709220999997,5,5,100,20,0.055481,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.04549243, 0.04764987, 0.010769, 0.016252700000000002, 0.879836]","[4, 8, 18, 25, 27]"
20,TID,True,0.02149950773514095,0.003002508579201,5,5,100,32,0.057838,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.04549243, 0.042884883, 0.010769, 0.016252700000000002, 0.884600987]","[4, 8, 18, 25, 27]"
21,TID,True,0.02119235704855957,0.003018590410326,5,5,100,19,0.053241,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.0497809183, 0.0385963947, 0.010769, 0.016252700000000002, 0.884600987]","[4, 8, 18, 25, 27]"
22,TID,True,0.02034150980080874,0.00300015291257781,5,5,100,18,0.055169,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.0497809183, 0.03473675523, 0.010769, 0.016252700000000002, 0.88846062647]","[4, 8, 18, 25, 27]"
23,TID,True,0.020078863937706408,0.00301317919578906,5,5,100,19,0.054667,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.053254593823, 0.031263079707, 0.010769, 0.016252700000000002, 0.88846062647]","[4, 8, 18, 25, 27]"
24,iDR,True,0.01943766527261503,0.0030003225449999997,5,5,100,24,0.056697,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.053422, 0.028225, 0.010803, 0.016304, 0.891247]","[4, 8, 18, 25, 27]"
25,iDR,False,0.01943766527261503,0.0030003225449999997,5,5,100,16,0.05568,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.053422, 0.028225, 0.010803, 0.016304, 0.891247]","[4, 8, 18, 25, 27]"
26,iDR,False,0.01943766527261503,0.0030003225449999997,5,5,100,15,0.052871,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.053422, 0.028225, 0.010803, 0.016304, 0.891247]","[4, 8, 18, 25, 27]"
27,TID,True,0.019215151334395435,0.00301090692,5,5,100,22,0.053589,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.056244499999999996, 0.0254025, 0.010803, 0.016304, 0.891247]","[4, 8, 18, 25, 27]"
28,iDR,True,0.018686114356108577,0.0030004575199999994,5,5,100,20,0.052689,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.056388, 0.02292, 0.010831, 0.016346, 0.893516]","[4, 8, 18, 25, 27]"
29,iDR,False,0.018686114356108577,0.0030004575199999994,5,5,100,13,0.056132,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.056388, 0.02292, 0.010831, 0.016346, 0.893516]","[4, 8, 18, 25, 27]"
30,iDR,False,0.018686114356108577,0.0030004575199999994,5,5,100,12,0.054023,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.056388, 0.02292, 0.010831, 0.016346, 0.893516]","[4, 8, 18, 25, 27]"
31,TID,True,0.018499400703459665,0.0030090525199999996,5,5,100,24,0.054871,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.05868, 0.020628, 0.010831, 0.016346, 0.893516]","[4, 8, 18, 25, 27]"
32,iDR,False,0.01806437100037257,0.0030005618029999995,5,5,100,21,0.05368,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.058801, 0.018604, 0.010853, 0.01638, 0.895362]","[4, 8, 18, 25, 27]"
33,TID,True,0.017908839829439298,0.003007538303,5,5,100,14,0.053267,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.0606614, 0.016743599999999997, 0.010853, 0.01638, 0.895362]","[4, 8, 18, 25, 27]"
34,iDR,True,0.017552195845897022,0.003000648777,5,5,100,22,0.053451,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.060763, 0.015095, 0.010871, 0.016407, 0.896864]","[4, 8, 18, 25, 27]"
35,TID,True,0.017423376513290987,0.0030063094019999997,5,5,100,16,0.052008,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.062272499999999995, 0.0135855, 0.010871, 0.016407, 0.896864]","[4, 8, 18, 25, 27]"
36,iDR,False,0.017131731383884345,0.003000719938,5,5,100,26,0.055718,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.062357, 0.012244, 0.010886, 0.016429, 0.898084]","[4, 8, 18, 25, 27]"
37,TID,True,0.017025513261352918,0.003005311438,5,5,100,12,0.053522,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.0635814, 0.0110196, 0.010886, 0.016429, 0.898084]","[4, 8, 18, 25, 27]"
38,TID,True,0.016822842241411617,0.0030012781184999998,5,5,100,25,0.056075,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.0635814, 0.0110196, 0.010886, 0.0147861, 0.8997269]","[4, 8, 18, 25, 27]"
39,iDR,False,0.016822842241411617,0.0030012781184999998,5,5,100,19,0.053789,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.0635814, 0.0110196, 0.010886, 0.0147861, 0.8997269]","[4, 8, 18, 25, 27]"
40,iDR,False,0.016822842241411617,0.0030012781184999998,5,5,100,17,0.060261,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.0635814, 0.0110196, 0.010886, 0.0147861, 0.8997269]","[4, 8, 18, 25, 27]"
41,iDR,False,0.016822842241411617,0.0030012781184999998,5,5,100,17,0.055671,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.0635814, 0.0110196, 0.010886, 0.0147861, 0.8997269]","[4, 8, 18, 25, 27]"
42,iDR,False,0.016822842241411617,0.0030012781184999998,5,5,100,15,0.055551,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.0635814, 0.0110196, 0.010886, 0.0147861, 0.8997269]","[4, 8, 18, 25, 27]"
43,iDR,False,0.016822842241411617,0.0030012781184999998,5,5,100,20,0.052536,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.0635814, 0.0110196, 0.010886, 0.0147861, 0.8997269]","[4, 8, 18, 25, 27]"
44,iDR,False,0.016822842241411617,0.0030012781184999998,5,5,100,19,0.053268,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.0635814, 0.0110196, 0.010886, 0.0147861, 0.8997269]","[4, 8, 18, 25, 27]"
45,iDR,False,0.016822842241411617,0.0030012781184999998,5,5,100,19,0.051908,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.0635814, 0.0110196, 0.010886, 0.0147861, 0.8997269]","[4, 8, 18, 25, 27]"
46,iDR,False,0.016822842241411617,0.0030012781184999998,5,5,100,16,0.051686,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.0635814, 0.0110196, 0.010886, 0.0147861, 0.8997269]","[4, 8, 18, 25, 27]"
47,iDR,False,0.016822842241411617,0.0030012781184999998,5,5,100,20,0.053542,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.0635814, 0.0110196, 0.010886, 0.0147861, 0.8997269]","[4, 8, 18, 25, 27]"
