iter,obj,aug_obj,return,X,Z,max_iter,neighbours,alpha,exp_return,n_port,k,move_strategy,seed,selection_strategy
12,0.02900131871103286,0.02900131871103286,0.009177898527923,[0.         0.         0.         0.         0.81470838 0.         0.         0.03366036 0.         0.         0.         0.         0.         0.         0.         0.02192517 0.         0.         0.01794288 0.         0.         0.         0.         0.01597921 0.         0.         0.         0.         0.         0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0.],500,100,0.1,0.0015,1,8,best,12,random
13,0.028718362004832618,0.028718362004832618,0.0091772812929542,[0.         0.         0.         0.         0.81470838 0.         0.         0.03545465 0.         0.         0.         0.         0.         0.         0.         0.02192517 0.         0.         0.01614859 0.         0.         0.         0.         0.01597921 0.         0.         0.         0.         0.         0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0.],500,100,0.1,0.0015,1,8,best,12,random
14,0.028445679194579743,0.028445679194579743,0.00917493651778784,[0.         0.         0.         0.         0.81470838 0.         0.         0.03545465 0.         0.         0.         0.         0.         0.         0.         0.02192517 0.         0.         0.01453373 0.         0.         0.         0.         0.01759407 0.         0.         0.         0.         0.         0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0.],500,100,0.1,0.0015,1,8,best,12,random
15,0.02778301542084237,0.02778301542084237,0.009183033258976967,[0.         0.         0.         0.         0.81616176 0.         0.         0.03545465 0.         0.         0.         0.         0.         0.         0.         0.02192517 0.         0.         0.01308036 0.         0.         0.         0.         0.01759407 0.         0.         0.         0.         0.         0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0.],500,100,0.1,0.0015,1,8,best,12,random
16,0.026726555002676324,0.026726555002676324,0.009204004683091517,[0.         0.         0.         0.         0.81970722 0.         0.         0.03190918 0.         0.         0.         0.         0.         0.         0.         0.02192517 0.         0.         0.01308036 0.         0.         0.         0.         0.01759407 0.         0.         0.         0.         0.         0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0.],500,100,0.1,0.0015,1,8,best,12,random
17,0.026614306656150968,0.026614306656150968,0.009197493118180524,[0.         0.         0.         0.         0.81970722 0.         0.         0.03190918 0.         0.         0.         0.         0.         0.         0.         0.02368458 0.         0.         0.01308036 0.         0.         0.         0.         0.01583466 0.         0.         0.         0.         0.         0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0.],500,100,0.1,0.0015,1,8,best,12,random
18,0.025656342416938673,0.025656342416938673,0.009216367399883617,[0.         0.         0.         0.         0.82289814 0.         0.         0.02871826 0.         0.         0.         0.         0.         0.         0.         0.02368458 0.         0.         0.01308036 0.         0.         0.         0.         0.01583466 0.         0.         0.         0.         0.         0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0.],500,100,0.1,0.0015,1,8,best,12,random
19,0.025429956981918658,0.025429956981918658,0.009214468131998865,[0.         0.         0.         0.         0.82289814 0.         0.         0.02871826 0.         0.         0.         0.         0.         0.         0.         0.02368458 0.         0.         0.01177232 0.         0.         0.         0.         0.0171427  0.         0.         0.         0.         0.         0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0.],500,100,0.1,0.0015,1,8,best,12,random
20,0.025381074201587455,0.025381074201587455,0.009211286148277088,[0.         0.         0.         0.         0.82289814 0.         0.         0.02584644 0.         0.         0.         0.         0.         0.         0.         0.02368458 0.         0.         0.01177232 0.         0.         0.         0.         0.02001452 0.         0.         0.         0.         0.         0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0.],500,100,0.1,0.0015,1,8,best,12,random
21,0.025256095631134425,0.025256095631134425,0.009203878772858082,[0.         0.         0.         0.         0.82289814 0.         0.         0.02584644 0.         0.         0.         0.         0.         0.         0.         0.02568603 0.         0.         0.01177232 0.         0.         0.         0.         0.01801307 0.         0.         0.         0.         0.         0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0.],500,100,0.1,0.0015,1,8,best,12,random
