iter,obj,aug_obj,return,X,Z,Q,max_iter,neighbours,alpha,exp_return,n_port,k,move_strategy,seed,selection_strategy,tag
11,0.18914732873092727,0.18914732873092727,0.003992691061,[0.         0.         0.         0.         0.26334363 0.         0.         0.         0.         0.         0.122926   0.         0.         0.         0.         0.         0.         0.122926   0.         0.122724   0.12153537 0.123139   0.         0.         0.         0.         0.         0.         0.123405   0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0.],7.0,1000,100,0.01,0.0005,1,6,random,,best,single_objective
12,0.18914732873092727,0.18914732873092727,0.003992691061,[0.         0.         0.         0.         0.26334363 0.         0.         0.         0.         0.         0.122926   0.         0.         0.         0.         0.         0.         0.122926   0.         0.122724   0.12153537 0.123139   0.         0.         0.         0.         0.         0.         0.123405   0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0.],7.0,1000,100,0.01,0.0005,1,6,random,,best,single_objective
13,0.1870524813328311,0.1897545860289872,0.003992691061,[0.       0.       0.       0.       0.272746 0.       0.       0.       0.       0.       0.121235 0.       0.       0.       0.       0.       0.       0.121235 0.       0.1212   0.120995 0.121272 0.       0.       0.       0.       0.       0.       0.121318 0.       0.      ],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0.],7.0,1000,100,0.01,0.0005,1,6,random,,best,single_objective
14,0.18684581571482778,0.18684581571482778,0.003992691061,[0.       0.       0.       0.       0.273686 0.       0.       0.       0.       0.       0.121057 0.       0.       0.       0.       0.       0.       0.121057 0.       0.121051 0.121015 0.121063 0.       0.       0.       0.       0.       0.       0.121071 0.       0.      ],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0.],7.0,1000,100,0.01,0.0005,1,6,random,,best,single_objective
15,0.18682517024816664,0.18682517024816664,0.003992691061,[0.       0.       0.       0.       0.273781 0.       0.       0.       0.       0.       0.121037 0.       0.       0.       0.       0.       0.       0.121037 0.       0.121036 0.12103  0.121038 0.       0.       0.       0.       0.       0.       0.12104  0.       0.      ],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0.],7.0,1000,100,0.01,0.0005,1,6,random,,best,single_objective
16,0.18682381567531106,0.18682381567531106,0.003992691061,[0.       0.       0.       0.       0.27379  0.       0.       0.       0.       0.       0.121035 0.       0.       0.       0.       0.       0.       0.121035 0.       0.121035 0.121034 0.121035 0.       0.       0.       0.       0.       0.       0.121036 0.       0.      ],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0.],7.0,1000,100,0.01,0.0005,1,6,random,,best,single_objective
17,0.18657196024087394,0.18657196024087394,0.003992691061,[0.         0.         0.         0.         0.27500036 0.         0.         0.         0.         0.         0.121035   0.         0.         0.         0.         0.         0.         0.121035   0.         0.121035   0.121034   0.121035   0.         0.         0.         0.         0.         0.         0.11982564 0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0.],7.0,1000,100,0.01,0.0005,1,6,random,,best,single_objective
18,0.18625453256741148,0.18625453256741148,0.003992691061,[0.         0.         0.         0.         0.2762107  0.         0.         0.         0.         0.         0.121035   0.         0.         0.         0.         0.         0.         0.121035   0.         0.121035   0.11982366 0.121035   0.         0.         0.         0.         0.         0.         0.11982564 0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0.],7.0,1000,100,0.01,0.0005,1,6,random,,best,single_objective
19,0.18625453256741148,0.18625453256741148,0.003992691061,[0.         0.         0.         0.         0.2762107  0.         0.         0.         0.         0.         0.121035   0.         0.         0.         0.         0.         0.         0.121035   0.         0.121035   0.11982366 0.121035   0.         0.         0.         0.         0.         0.         0.11982564 0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0.],7.0,1000,100,0.01,0.0005,1,6,random,,best,single_objective
20,0.1859460894651902,0.1886068685018675,0.003992691061,[0.         0.         0.         0.         0.27742105 0.         0.         0.         0.         0.         0.121035   0.         0.         0.         0.         0.         0.         0.121035   0.         0.11982465 0.11982366 0.121035   0.         0.         0.         0.         0.         0.         0.11982564 0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0.],7.0,1000,100,0.01,0.0005,1,6,random,,best,single_objective
