iter,obj,aug_obj,return,max_iter,neighbours,alpha,exp_return,n_port,k,move_strategy,seed,selection_strategy
21,0.016774,0.01677433,0.002375848526,100,1000,0.1,0.001,1,5,best,,best
22,0.015353,0.01535319,0.0023726092299999994,100,1000,0.1,0.001,1,5,best,,best
23,0.014961,0.01496109,0.0023692487128,100,1000,0.1,0.001,1,5,best,,best
24,0.013684,0.01368355,0.002366552178,100,1000,0.1,0.001,1,5,best,,best
25,0.011469,0.01146894,0.002381183964,100,1000,0.1,0.001,1,5,best,,best
26,0.011123,0.01112337,0.002381515988,100,1000,0.1,0.001,1,5,best,,best
27,0.010791,0.01079086,0.0023820872389999997,100,1000,0.1,0.001,1,5,best,,best
28,0.010469,0.01046934,0.0023793220289,100,1000,0.1,0.001,1,5,best,,best
29,0.01017,0.01017011,0.0023796697109999994,100,1000,0.1,0.001,1,5,best,,best
30,0.008856,0.00885625,0.002440031587,100,1000,0.1,0.001,1,5,best,,best
31,0.00857,0.00857003,0.0024407002369999996,100,1000,0.1,0.001,1,5,best,,best
32,0.007847,0.00784735,0.0024706004929999996,100,1000,0.1,0.001,1,5,best,,best
33,0.007603,0.00760334,0.0024737504049999995,100,1000,0.1,0.001,1,5,best,,best
34,0.007368,0.00736787,0.002474326985,100,1000,0.1,0.001,1,5,best,,best
35,0.007334,0.0073341,0.0024889555230000002,100,1000,0.1,0.001,1,5,best,,best
36,0.007173,0.0071727,0.002472465523,100,1000,0.1,0.001,1,5,best,,best
37,0.007173,0.0071727,0.002472465523,100,1000,0.1,0.001,1,5,best,,best
38,0.007173,0.0071727,0.002472465523,100,1000,0.1,0.001,1,5,best,,best
39,0.007173,0.0071727,0.002472465523,100,1000,0.1,0.001,1,5,best,,best
40,0.007173,0.0071727,0.002472465523,100,1000,0.1,0.001,1,5,best,,best
41,0.007173,0.0071727,0.002472465523,100,1000,0.1,0.001,1,5,best,,best
42,0.007173,0.0071727,0.002472465523,100,1000,0.1,0.001,1,5,best,,best
43,0.007173,0.0071727,0.002472465523,100,1000,0.1,0.001,1,5,best,,best
44,0.007173,0.0071727,0.002472465523,100,1000,0.1,0.001,1,5,best,,best
45,0.007173,0.0071727,0.002472465523,100,1000,0.1,0.001,1,5,best,,best
46,0.007173,0.0071727,0.002472465523,100,1000,0.1,0.001,1,5,best,,best
47,0.007173,0.0071727,0.002472465523,100,1000,0.1,0.001,1,5,best,,best
48,0.007173,0.0071727,0.002472465523,100,1000,0.1,0.001,1,5,best,,best
49,0.007173,0.0071727,0.002472465523,100,1000,0.1,0.001,1,5,best,,best
50,0.007173,0.0071727,0.002472465523,100,1000,0.1,0.001,1,5,best,,best
51,0.007173,0.0071727,0.002472465523,100,1000,0.1,0.001,1,5,best,,best
52,0.007173,0.0071727,0.002472465523,100,1000,0.1,0.001,1,5,best,,best
53,0.007173,0.0071727,0.002472465523,100,1000,0.1,0.001,1,5,best,,best
54,0.007173,0.0071727,0.002472465523,100,1000,0.1,0.001,1,5,best,,best
55,0.007173,0.0071727,0.002472465523,100,1000,0.1,0.001,1,5,best,,best
56,0.007173,0.0071727,0.002472465523,100,1000,0.1,0.001,1,5,best,,best
57,0.007173,0.0071727,0.002472465523,100,1000,0.1,0.001,1,5,best,,best
58,0.007173,0.0071727,0.002472465523,100,1000,0.1,0.001,1,5,best,,best
59,0.007173,0.0071727,0.002472465523,100,1000,0.1,0.001,1,5,best,,best
60,0.007173,0.0071727,0.002472465523,100,1000,0.1,0.001,1,5,best,,best
61,0.007173,0.0071727,0.002472465523,100,1000,0.1,0.001,1,5,best,,best
62,0.007173,0.0071727,0.002472465523,100,1000,0.1,0.001,1,5,best,,best
63,0.007173,0.0071727,0.002472465523,100,1000,0.1,0.001,1,5,best,,best
64,0.007173,0.0071727,0.002472465523,100,1000,0.1,0.001,1,5,best,,best
65,0.007173,0.0071727,0.002472465523,100,1000,0.1,0.001,1,5,best,,best
66,0.007173,0.0071727,0.002472465523,100,1000,0.1,0.001,1,5,best,,best
67,0.007173,0.0071727,0.002472465523,100,1000,0.1,0.001,1,5,best,,best
68,0.007173,0.0071727,0.002472465523,100,1000,0.1,0.001,1,5,best,,best
69,0.007173,0.0071727,0.002472465523,100,1000,0.1,0.001,1,5,best,,best
70,0.007173,0.0071727,0.002472465523,100,1000,0.1,0.001,1,5,best,,best
71,0.007173,0.0071727,0.002472465523,100,1000,0.1,0.001,1,5,best,,best
72,0.007173,0.0071727,0.002472465523,100,1000,0.1,0.001,1,5,best,,best
73,0.007173,0.0071727,0.002472465523,100,1000,0.1,0.001,1,5,best,,best
74,0.007173,0.0071727,0.002472465523,100,1000,0.1,0.001,1,5,best,,best
75,0.007173,0.0071727,0.002472465523,100,1000,0.1,0.001,1,5,best,,best
76,0.007173,0.0071727,0.002472465523,100,1000,0.1,0.001,1,5,best,,best
77,0.007173,0.0071727,0.002472465523,100,1000,0.1,0.001,1,5,best,,best
78,0.007173,0.0071727,0.002472465523,100,1000,0.1,0.001,1,5,best,,best
79,0.007173,0.0071727,0.002472465523,100,1000,0.1,0.001,1,5,best,,best
80,0.007173,0.0071727,0.002472465523,100,1000,0.1,0.001,1,5,best,,best
81,0.007173,0.0071727,0.002472465523,100,1000,0.1,0.001,1,5,best,,best
82,0.007173,0.0071727,0.002472465523,100,1000,0.1,0.001,1,5,best,,best
83,0.007173,0.0071727,0.002472465523,100,1000,0.1,0.001,1,5,best,,best
84,0.007173,0.0071727,0.002472465523,100,1000,0.1,0.001,1,5,best,,best
85,0.007173,0.0071727,0.002472465523,100,1000,0.1,0.001,1,5,best,,best
86,0.007173,0.0071727,0.002472465523,100,1000,0.1,0.001,1,5,best,,best
87,0.007173,0.0071727,0.002472465523,100,1000,0.1,0.001,1,5,best,,best
88,0.007173,0.0071727,0.002472465523,100,1000,0.1,0.001,1,5,best,,best
89,0.007173,0.0071727,0.002472465523,100,1000,0.1,0.001,1,5,best,,best
90,0.007173,0.0071727,0.002472465523,100,1000,0.1,0.001,1,5,best,,best
91,0.007173,0.0071727,0.002472465523,100,1000,0.1,0.001,1,5,best,,best
92,0.007173,0.0071727,0.002472465523,100,1000,0.1,0.001,1,5,best,,best
93,0.007173,0.0071727,0.002472465523,100,1000,0.1,0.001,1,5,best,,best
94,0.007173,0.0071727,0.002472465523,100,1000,0.1,0.001,1,5,best,,best
95,0.007173,0.0071727,0.002472465523,100,1000,0.1,0.001,1,5,best,,best
96,0.007173,0.0071727,0.002472465523,100,1000,0.1,0.001,1,5,best,,best
97,0.007173,0.0071727,0.002472465523,100,1000,0.1,0.001,1,5,best,,best
98,0.007173,0.0071727,0.002472465523,100,1000,0.1,0.001,1,5,best,,best
99,0.007173,0.0071727,0.002472465523,100,1000,0.1,0.001,1,5,best,,best
