,iter,move,improve,obj,return,n_assets,X,Z,qN,qNv,iter_time,max_iter,neighbours,alpha,exp_return,n_port,k_min,k_max,move_strategy,seed,selection_strategy
18,18,TID,True,0.07569560062747142,0.003138005817953201,10,[0.01172395 0.01012687 0.27989706 0.01047438 0.01120467 0.01096489 0.01205808 0.63199164 0.0101834  0.01137506],[ 4  8 12 13 16 18 25 27 29 30],1000,333,0.817636,100,1000,0.01,0.003,1,10,10,best,42,best
19,19,TID,True,0.07535413325689067,0.0031319852322473137,10,[0.01172395 0.01012687 0.27709809 0.01047438 0.01120467 0.01096489 0.01205808 0.63479061 0.0101834  0.01137506],[ 4  8 12 13 16 18 25 27 29 30],1000,300,0.815765,100,1000,0.01,0.003,1,10,10,best,42,best
20,20,TID,True,0.07501153304968404,0.003126024852398486,10,[0.01172395 0.01012687 0.27432711 0.01047438 0.01120467 0.01096489 0.01205808 0.63756159 0.0101834  0.01137506],[ 4  8 12 13 16 18 25 27 29 30],1000,304,0.784064,100,1000,0.01,0.003,1,10,10,best,42,best
21,21,TID,True,0.07466790182967345,0.003120124076348146,10,[0.01172395 0.01012687 0.27158383 0.01047438 0.01120467 0.01096489 0.01205808 0.64030486 0.0101834  0.01137506],[ 4  8 12 13 16 18 25 27 29 30],1000,293,0.796457,100,1000,0.01,0.003,1,10,10,best,42,best
22,22,TID,True,0.07432333860158295,0.0031142823080583092,10,[0.01172395 0.01012687 0.268868   0.01047438 0.01120467 0.01096489 0.01205808 0.6430207  0.0101834  0.01137506],[ 4  8 12 13 16 18 25 27 29 30],1000,309,0.820241,100,1000,0.01,0.003,1,10,10,best,42,best
23,23,TID,True,0.0739779396150669,0.003108498957451371,10,[0.01172395 0.01012687 0.26617932 0.01047438 0.01120467 0.01096489 0.01205808 0.64570938 0.0101834  0.01137506],[ 4  8 12 13 16 18 25 27 29 30],1000,302,0.838828,100,1000,0.01,0.003,1,10,10,best,42,best
24,24,TID,True,0.07363179842738464,0.0031027734403505022,10,[0.01172395 0.01012687 0.26351752 0.01047438 0.01120467 0.01096489 0.01205808 0.64837117 0.0101834  0.01137506],[ 4  8 12 13 16 18 25 27 29 30],1000,327,0.799435,100,1000,0.01,0.003,1,10,10,best,42,best
25,25,TID,True,0.07328500596474932,0.003097105178420642,10,[0.01172395 0.01012687 0.26088235 0.01047438 0.01120467 0.01096489 0.01205808 0.65100635 0.0101834  0.01137506],[ 4  8 12 13 16 18 25 27 29 30],1000,289,0.788955,100,1000,0.01,0.003,1,10,10,best,42,best
26,26,TID,True,0.0729376505823784,0.00309149359911008,10,[0.01172395 0.01012687 0.25827352 0.01047438 0.01120467 0.01096489 0.01205808 0.65361517 0.0101834  0.01137506],[ 4  8 12 13 16 18 25 27 29 30],1000,304,0.856125,100,1000,0.01,0.003,1,10,10,best,42,best
27,27,TID,True,0.07258981812327207,0.0030859381355926247,10,[0.01172395 0.01012687 0.25569079 0.01047438 0.01120467 0.01096489 0.01205808 0.65619791 0.0101834  0.01137506],[ 4  8 12 13 16 18 25 27 29 30],1000,308,0.789726,100,1000,0.01,0.003,1,10,10,best,42,best
28,28,TID,True,0.07224159197574576,0.003080438226710343,10,[0.01172395 0.01012687 0.25313388 0.01047438 0.01120467 0.01096489 0.01205808 0.65875481 0.0101834  0.01137506],[ 4  8 12 13 16 18 25 27 29 30],1000,306,0.776406,100,1000,0.01,0.003,1,10,10,best,42,best
29,29,TID,True,0.07189305312974263,0.0030749933169168845,10,[0.01172395 0.01012687 0.25060254 0.01047438 0.01120467 0.01096489 0.01205808 0.66128615 0.0101834  0.01137506],[ 4  8 12 13 16 18 25 27 29 30],1000,302,0.793153,100,1000,0.01,0.003,1,10,10,best,42,best
30,30,TID,True,0.07154428023195047,0.0030696028562213606,10,[0.01172395 0.01012687 0.24809652 0.01047438 0.01120467 0.01096489 0.01205808 0.66379218 0.0101834  0.01137506],[ 4  8 12 13 16 18 25 27 29 30],1000,309,0.783512,100,1000,0.01,0.003,1,10,10,best,42,best
