,iter,move,improve,obj,return,n_assets,X,Z,qN,qNv,iter_time,max_iter,neighbours,alpha,exp_return,n_port,k_min,k_max,move_strategy,seed,selection_strategy
86,86,TID,True,0.058481625682422274,0.0030014515480699332,10,[0.01351725 0.01012286 0.01006476 0.1455841  0.01047023 0.01096055 0.05952315 0.71820718 0.01017937 0.01137056],[ 4  8 10 12 13 18 25 27 29 30],1000,262,0.662112,100,1000,0.01,0.003,1,10,10,best,42,best
87,87,TID,True,0.0583296271605357,0.0030018941237254736,10,[0.01351725 0.01012286 0.01006476 0.14412826 0.01047023 0.01096055 0.06097899 0.71820718 0.01017937 0.01137056],[ 4  8 10 12 13 18 25 27 29 30],1000,299,0.703943,100,1000,0.01,0.003,1,10,10,best,42,best
88,88,TID,True,0.05817804168347379,0.0030023322736244576,10,[0.01351725 0.01012286 0.01006476 0.14268697 0.01047023 0.01096055 0.06242027 0.71820718 0.01017937 0.01137056],[ 4  8 10 12 13 18 25 27 29 30],1000,306,0.710074,100,1000,0.01,0.003,1,10,10,best,42,best
89,89,iDR,True,0.057967797022860014,0.0030002079613200396,10,[0.01353656 0.01013732 0.01007915 0.14146195 0.01048519 0.01097621 0.06250947 0.71923344 0.01019391 0.01138681],[ 4  8 10 12 13 18 25 27 29 30],1000,315,0.756783,100,1000,0.01,0.003,1,10,10,best,42,best
90,90,TID,True,0.05781719557335261,0.003000638005653279,10,[0.01353656 0.01013732 0.01007915 0.14004733 0.01048519 0.01097621 0.06392409 0.71923344 0.01019391 0.01138681],[ 4  8 10 12 13 18 25 27 29 30],1000,197,0.600437,100,1000,0.01,0.003,1,10,10,best,42,best
91,91,TID,True,0.05766705499549506,0.003001063749543186,10,[0.01353656 0.01013732 0.01007915 0.13864686 0.01048519 0.01097621 0.06532456 0.71923344 0.01019391 0.01138681],[ 4  8 10 12 13 18 25 27 29 30],1000,282,0.644347,100,1000,0.01,0.003,1,10,10,best,42,best
92,92,TID,True,0.05751739147891346,0.0030014852359941937,10,[0.01353656 0.01013732 0.01007915 0.13726039 0.01048519 0.01097621 0.06671103 0.71923344 0.01019391 0.01138681],[ 4  8 10 12 13 18 25 27 29 30],1000,279,0.751008,100,1000,0.01,0.003,1,10,10,best,42,best
93,93,TID,True,0.05736822063745067,0.0030019025075806913,10,[0.01353656 0.01013732 0.01007915 0.13588779 0.01048519 0.01097621 0.06808363 0.71923344 0.01019391 0.01138681],[ 4  8 10 12 13 18 25 27 29 30],1000,267,0.728003,100,1000,0.01,0.003,1,10,10,best,42,best
94,94,TID,True,0.05721955752316046,0.0030023156064513247,10,[0.01353656 0.01013732 0.01007915 0.13452891 0.01048519 0.01097621 0.06944251 0.71923344 0.01019391 0.01138681],[ 4  8 10 12 13 18 25 27 29 30],1000,313,0.717435,100,1000,0.01,0.003,1,10,10,best,42,best
95,95,iDR,True,0.057015801663916725,0.003000312891933439,10,[0.0135548  0.01015098 0.01009272 0.13336303 0.01049931 0.01099099 0.06953606 0.72020232 0.01020765 0.01140214],[ 4  8 10 12 13 18 25 27 29 30],1000,317,0.73338,100,1000,0.01,0.003,1,10,10,best,42,best
96,96,TID,True,0.05686827529602235,0.003000718315548511,10,[0.0135548  0.01015098 0.01009272 0.1320294  0.01049931 0.01099099 0.07086969 0.72020232 0.01020765 0.01140214],[ 4  8 10 12 13 18 25 27 29 30],1000,226,0.618767,100,1000,0.01,0.003,1,10,10,best,42,best
97,97,TID,True,0.05672129529541287,0.0030011196849274316,10,[0.0135548  0.01015098 0.01009272 0.13070911 0.01049931 0.01099099 0.07218998 0.72020232 0.01020765 0.01140214],[ 4  8 10 12 13 18 25 27 29 30],1000,244,0.637868,100,1000,0.01,0.003,1,10,10,best,42,best
98,98,TID,True,0.0565748746834537,0.0030015170406125628,10,[0.0135548  0.01015098 0.01009272 0.12940202 0.01049931 0.01099099 0.07349707 0.72020232 0.01020765 0.01140214],[ 4  8 10 12 13 18 25 27 29 30],1000,277,0.667425,100,1000,0.01,0.003,1,10,10,best,42,best
99,99,TID,True,0.05642902598344432,0.003001910422740843,10,[0.0135548  0.01015098 0.01009272 0.128108   0.01049931 0.01099099 0.07479109 0.72020232 0.01020765 0.01140214],[ 4  8 10 12 13 18 25 27 29 30],1000,284,0.690235,100,1000,0.01,0.003,1,10,10,best,42,best
