iter,move,improve,obj,return,n_assets,qX,qN,qNv,iter_time,max_iter,neighbours,alpha,exp_return,k_min,k_max,move_strategy,selection_strategy,tag,X,Z,gls_iter,gls_improve
20,iDR,True,0.0719,0.001000551572,7,7,1000,243,0.524851,100,1000,0.1,0.001,5,15,best,best,gls,"[0.025911, 0.045146, 0.814009, 0.018414, 0.028231, 0.011857, 0.056431]","[7, 11, 16, 22, 28, 29, 30]",0,False
21,TID,True,0.071705,0.001003328051,7,7,1000,204,0.506878,100,1000,0.1,0.001,5,15,best,best,gls,"[0.025911, 0.0406314, 0.814009, 0.018414, 0.0327456, 0.011857, 0.056431]","[7, 11, 16, 22, 28, 29, 30]",0,False
22,TID,True,0.071262,0.0010012993183,7,7,1000,246,0.514403,100,1000,0.1,0.001,5,15,best,best,gls,"[0.025911, 0.0406314, 0.8151946999999999, 0.018414, 0.0327456, 0.0106713, 0.056431]","[7, 11, 16, 22, 28, 29, 30]",0,False
23,TID,True,0.068996,0.0010279614174,7,7,1000,259,0.522443,100,1000,0.1,0.001,5,15,best,best,gls,"[0.025911, 0.0406314, 0.8151946999999999, 0.018414, 0.01, 0.0327456, 0.056431]","[7, 11, 16, 22, 25, 28, 30]",0,False
24,TID,True,0.067373,0.0010079707686,7,7,1000,364,0.528431,100,1000,0.1,0.001,5,15,best,best,gls,"[0.025911, 0.03656826, 0.8192578399999999, 0.018414, 0.01, 0.0327456, 0.056431]","[7, 11, 16, 22, 25, 28, 30]",0,False
25,iDR,True,0.066283,0.001000868818,7,7,1000,275,0.503727,100,1000,0.1,0.001,5,15,best,best,gls,"[0.026076, 0.036801, 0.824465, 0.018531, 0.010064, 0.032954, 0.051111]","[7, 11, 16, 22, 25, 28, 30]",0,False
26,TID,True,0.065757,0.0010004594248000003,7,7,1000,227,0.528788,100,1000,0.1,0.001,5,15,best,best,gls,"[0.0234684, 0.036801, 0.824465, 0.018531, 0.0126716, 0.032954, 0.051111]","[7, 11, 16, 22, 25, 28, 30]",0,False
27,TID,True,0.06528,0.0010000909709200001,7,7,1000,220,0.520379,100,1000,0.1,0.001,5,15,best,best,gls,"[0.02112156, 0.036801, 0.824465, 0.018531, 0.015018440000000001, 0.032954, 0.051111]","[7, 11, 16, 22, 25, 28, 30]",0,False
28,TID,True,0.064821,0.00100034484562,7,7,1000,234,0.533463,100,1000,0.1,0.001,5,15,best,best,gls,"[0.02112156, 0.036801, 0.824465, 0.0166779, 0.01687154, 0.032954, 0.051111]","[7, 11, 16, 22, 25, 28, 30]",0,False
29,TID,True,0.064362,0.0010126779299200002,7,7,1000,223,0.530933,100,1000,0.1,0.001,5,15,best,best,gls,"[0.02112156, 0.036801, 0.824465, 0.0166779, 0.02198264, 0.032954, 0.045999899999999996]","[7, 11, 16, 22, 25, 28, 30]",0,False
30,TID,True,0.063102,0.0010030271509,7,7,1000,314,0.572946,100,1000,0.1,0.001,5,15,best,best,gls,"[0.02112156, 0.036801, 0.82906499, 0.0166779, 0.02198264, 0.032954, 0.04139991]","[7, 11, 16, 22, 25, 28, 30]",0,False
31,TID,True,0.062286,0.00100152199,7,7,1000,211,0.512219,100,1000,0.1,0.001,5,15,best,best,gls,"[0.02112156, 0.0331209, 0.82906499, 0.0166779, 0.025662740000000003, 0.032954, 0.04139991]","[7, 11, 16, 22, 25, 28, 30]",0,False
32,TID,True,0.061544,0.00100016734519,7,7,1000,235,0.518442,100,1000,0.1,0.001,5,15,best,best,gls,"[0.02112156, 0.02980881, 0.82906499, 0.0166779, 0.028974830000000003, 0.032954, 0.04139991]","[7, 11, 16, 22, 25, 28, 30]",0,False
33,TID,True,0.06113,0.00100039583242,7,7,1000,212,0.520796,100,1000,0.1,0.001,5,15,best,best,gls,"[0.02112156, 0.02980881, 0.82906499, 0.015010109999999998, 0.030642620000000002, 0.032954, 0.04139991]","[7, 11, 16, 22, 25, 28, 30]",0,False
34,TID,True,0.0607,0.001000064223928,7,7,1000,212,0.51635,100,1000,0.1,0.001,5,15,best,best,gls,"[0.019009404, 0.02980881, 0.82906499, 0.015010109999999998, 0.032754776, 0.032954, 0.04139991]","[7, 11, 16, 22, 25, 28, 30]",0,False
35,TID,True,0.060307,0.001010054022211,7,7,1000,212,0.52896,100,1000,0.1,0.001,5,15,best,best,gls,"[0.019009404, 0.02980881, 0.82906499, 0.015010109999999998, 0.036894767, 0.032954, 0.037259918999999996]","[7, 11, 16, 22, 25, 28, 30]",0,False
36,TID,True,0.059271,0.0010022368912048,7,7,1000,284,0.546897,100,1000,0.1,0.001,5,15,best,best,gls,"[0.019009404, 0.02980881, 0.8327909819, 0.015010109999999998, 0.036894767, 0.032954, 0.0335339271]","[7, 11, 16, 22, 25, 28, 30]",0,False
37,TID,True,0.058597,0.0010010177108758002,7,7,1000,236,0.515184,100,1000,0.1,0.001,5,15,best,best,gls,"[0.019009404, 0.026827929, 0.8327909819, 0.015010109999999998, 0.039875648, 0.032954, 0.0335339271]","[7, 11, 16, 22, 25, 28, 30]",0,False
38,TID,True,0.058207,0.001000719263233,7,7,1000,248,0.522357,100,1000,0.1,0.001,5,15,best,best,gls,"[0.017108463600000002, 0.026827929, 0.8327909819, 0.015010109999999998, 0.0417765884, 0.032954, 0.0335339271]","[7, 11, 16, 22, 25, 28, 30]",0,False
39,TID,True,0.057835,0.0010009249017400002,7,7,1000,228,0.523847,100,1000,0.1,0.001,5,15,best,best,gls,"[0.017108463600000002, 0.026827929, 0.8327909819, 0.013509098999999998, 0.043277599400000005, 0.032954, 0.0335339271]","[7, 11, 16, 22, 25, 28, 30]",0,False
40,TID,True,0.057483,0.00100065629886148,7,7,1000,221,0.540375,100,1000,0.1,0.001,5,15,best,best,gls,"[0.015397617240000001, 0.026827929, 0.8327909819, 0.013509098999999998, 0.04498844576, 0.032954, 0.0335339271]","[7, 11, 16, 22, 25, 28, 30]",0,False
41,TID,True,0.057147,0.00100084137351778,7,7,1000,211,0.52428,100,1000,0.1,0.001,5,15,best,best,gls,"[0.015397617240000001, 0.026827929, 0.8327909819, 0.012158189099999998, 0.046339355660000005, 0.032954, 0.0335339271]","[7, 11, 16, 22, 25, 28, 30]",0,False
42,TID,True,0.056816,0.00100893311012701,7,7,1000,206,0.514319,100,1000,0.1,0.001,5,15,best,best,gls,"[0.015397617240000001, 0.026827929, 0.8327909819, 0.012158189099999998, 0.049692748370000005, 0.032954, 0.03018053439]","[7, 11, 16, 22, 25, 28, 30]",0,False
43,TID,True,0.055967,0.001002601234011988,7,7,1000,275,0.544196,100,1000,0.1,0.001,5,15,best,best,gls,"[0.015397617240000001, 0.026827929, 0.835809035339, 0.012158189099999998, 0.049692748370000005, 0.032954, 0.027162480951]","[7, 11, 16, 22, 25, 28, 30]",0,False
44,TID,True,0.055355,0.001001503971715888,7,7,1000,253,0.536095,100,1000,0.1,0.001,5,15,best,best,gls,"[0.015397617240000001, 0.0241451361, 0.835809035339, 0.012158189099999998, 0.052375541270000006, 0.032954, 0.027162480951]","[7, 11, 16, 22, 25, 28, 30]",0,False
45,TID,True,0.0548,0.001000516435649398,7,7,1000,241,0.5261,100,1000,0.1,0.001,5,15,best,best,gls,"[0.015397617240000001, 0.021730622489999997, 0.835809035339, 0.012158189099999998, 0.05479005488000001, 0.032954, 0.027162480951]","[7, 11, 16, 22, 25, 28, 30]",0,False
